CODIGO,FOTO,DESCRIPCION DEL PRODUCTO,REFERENCIA,REFERENCIA 2,LOCALIZACION,CODIGO BARRA,CODIGO F.,ACTIVO,DEP 1,DEP 2,DEP 3,DEP 4,DEP 5,DEP 6,DEP 7,STOCK,a Retirar
1-7,N/D,ACC. 12000 OF IDU SENSOR,,,,1027,,S,3,,,,,,,3,
2-4,N/D,ACC. 12000 OF INDOOR FAN,,,,1028,,S,3,,,,,,,3,
3-1,N/D,ACC. 12000 OF OUTDOOR FAN,,,,1029,,N,3,,,,,,,3,
4-8,N/D,ACC. 12000 OF OUTDOOR MOTOR,,,,1030,,S,6,,,,,,,6,
5-5,N/D,ACC. 12000 OF REMOTE CONTROL,,,,1031,,S,3,,,,,,,3,
6-2,N/D,ACC. 12000 OUTDOOR FAN MOTOR,,,,1032,,S,3,,,,,,,3,
7-9,N/D,ACC. 12000OF FAN CAPACITOR,,,,1033,,S,6,,,,,,,6,
8-6,N/D,ACC. 12000OF PANEL,,,,1034,,S,3,,,,,,,3,
204-2,N/D,ACC. ACELERADOR T4 CROSS,CROSS ASE T4,,,2042,2042,S,10,,,,,,,10,
205-9,N/D,ACC. ACELERADOR T8 CROSS PRO,CROSS ASE T8,,,2059,2059,S,5,,,,,,,5,
9-3,N/D,ACC. AIRFLOW DIREXIONAL WING MOTOR 18000IV,,,,1035,,S,2,,,,,,,2,
10-9,N/D,ACC. ASPAS DE ITB 12000IV,,,,1036,,S,2,,,,,,,2,
11-6,N/D,ACC. ASPAS DE ITB 18000IV,,,,1037,,S,2,,,,,,,2,
12-3,N/D,ACC. ASPAS DE ITB 24000IV,,,,1038,,S,2,,,,,,,2,
13-0,N/D,ACC. AUFLOR DIREXIONAL WING MOTOR,,,,1039,,S,2,,,,,,,2,
14-7,N/D,"ACC. BATERIA  HOOVER BOARD 6,5",,,,1119,,S,,,,,,1,,1,
15-4,N/D,ACC. BATERIA  X-SCOOTER TITAN F3,,,,1120,,S,1,,,,,,,1,
16-1,N/D,ACC. BATERIA F5 V8 X-SCOOTER XTREME,,,,1121,,S,1,,,,,,,1,
17-8,N/D,ACC. CARCASA FRONTAL DE SPLIT ITB 24000IV,,,,1040,,S,2,,,,,,,2,
18-5,N/D,ACC. CARCASA FRONTAL DE SPLIT ITB18000IV,,,,1041,,S,2,,,,,,,2,
19-2,N/D,ACC. CARGADOR DE HOVERBOAR,,,,1125,,S,46,,,,,,,46,
253-0,N/D,ACC. CARGADOR EVO,,,,2530,2530,S,3,,,,,,,3,
199-1,N/D,ACC. CARGADOR SCOOTER CROSS PRO T8,CROSS CARG.T8,,,1991,1991,S,2,,,,,1,,3,
198-4,N/D,ACC. CARGADOR SCOOTER CROSS T4,CROSS CARG.,,,1984,1984,S,10,,,,,,,10,
20-8,N/D,ACC. CARGADOR X-SCOOTER 10,,,,1126,,S,7,,,,,3,,10,
21-5,N/D,ACC. CARGADOR X-SCOOTER 8.5,,,,1127,,S,53,,,,51,,,104,
22-2,N/D,ACC. COMPRESOR ITB 12000IV,,,,1042,,S,1,,,,,,,1,
23-9,N/D,ACC. COMPRESOR ITB 24000IV,,,,1043,,S,1,,,,,,,1,
26-0,N/D,"ACC. CONTROLADOR 8,5 HS04 CEORDO 00784",784,,,1142,,S,99,,,,,,,99,1
252-3,N/D,ACC. CONTROLADOR EVO,,,,2523,2523,S,10,,,,,,,10,
27-7,N/D,ACC. CONTROLADOR GT F9 CONTROLLER,,,,1143,,S,4,,,,,,,4,
28-4,N/D,ACC. CONTROLADOR GT-S F8 CONTROLLER,,,,1144,,S,1,,,,,,,1,
202-8,N/D,ACC. CONTROLADOR T4 CROSS,CROSS CONT.T4,,,2028,2028,S,10,,,,,,,10,
203-5,N/D,ACC. CONTROLADOR T8 CROSS PRO,CROSS CONTROL T,,,2035,2035,S,5,,,,,,,5,
206-6,N/D,ACC. CUBIERTA T4 CROSS,CUBIERTA T4,,,2066,2066,S,10,,,,,,,10,
207-3,N/D,ACC. CUBIERTA T8 CROSS PRO,CUBIERTA T8,,,2073,2073,S,5,,,,,,,5,
29-1,N/D,ACC. CUBIERTA X-SCOOTER GT F9 TIRE,,,,1145,,S,7,,,,,,,7,
30-7,N/D,"ACC. CUBIERTAS S CAMARA 8,5 INCH TIRE",,,,1146,,S,35,,,,75,,,110,
31-4,N/D,ACC. CUBIERTAS X-SCOOTER 10,,,,1147,,S,55,,,,,,,55,
32-1,N/D,ACC. CUBIERTAS X-SCOOTER GT-S F8 TIRE,,,,1148,,S,13,,,,,,,13,
33-8,N/D,ACC. CUBIERTAS X-SCOOTER TITAN F3 TIRE,,,,1150,,S,26,,,,,,,26,
34-5,N/D,ACC. CUBIERTAS X-SCOOTER XTREME F5 TIRE,,,,1151,,S,14,,,,,,,14,
35-2,N/D,ACC. DISPLAY  X-SCOOTER 10,,,,1152,,S,174,,,,,1,,175,
36-9,N/D,ACC. DISPLAY BOARD ITB 24000IV,,,,1044,,S,2,,,,,,,2,
200-4,N/D,ACC. DISPLAY CROSS CROSS 4,CROSS CARG.T4,,,2004,2004,S,10,,,,,,,10,
201-1,N/D,ACC. DISPLAY CROSS PRO T8,CROSS CARG.T8,,,2011,2011,S,4,,,,,,,4,
